ID,REGION,SITE,SITE_CODE,BLOCK,PROV,TREE,SEROT,COMBIN2,COMBIN3,com2sub,com3sub
4348,3,124,EQUI,1,13,1,1,EQUI:13,EQUI:13:1,5,3
4349,3,124,EQUI,1,13,2,0,EQUI:13,EQUI:13:1,5,3
4350,3,124,EQUI,1,13,3,1,EQUI:13,EQUI:13:1,5,3
4892,3,124,EQUI,2,13,5,1,EQUI:13,EQUI:13:2,5,2
4893,3,124,EQUI,2,13,6,1,EQUI:13,EQUI:13:2,5,2
4595,3,124,EQUI,1,70,5,0,EQUI:70,EQUI:70:1,5,2
4599,3,124,EQUI,1,70,9,0,EQUI:70,EQUI:70:1,5,2
5131,3,124,EQUI,2,70,1,1,EQUI:70,EQUI:70:2,5,3
5132,3,124,EQUI,2,70,2,1,EQUI:70,EQUI:70:2,5,3
5134,3,124,EQUI,2,70,4,1,EQUI:70,EQUI:70:2,5,3
19920,9,151,FRAS,1,120,3,1,FRAS:120,FRAS:120:1,5,3
19921,9,151,FRAS,1,120,4,1,FRAS:120,FRAS:120:1,5,3
19926,9,151,FRAS,1,120,9,1,FRAS:120,FRAS:120:1,5,3
20461,9,151,FRAS,2,120,4,1,FRAS:120,FRAS:120:2,5,2
20464,9,151,FRAS,2,120,7,1,FRAS:120,FRAS:120:2,5,2
19495,9,151,FRAS,1,17,1,1,FRAS:17,FRAS:17:1,5,2
19496,9,151,FRAS,1,17,2,1,FRAS:17,FRAS:17:1,5,2
20036,9,151,FRAS,2,17,2,1,FRAS:17,FRAS:17:2,5,3
20037,9,151,FRAS,2,17,3,1,FRAS:17,FRAS:17:2,5,3
20038,9,151,FRAS,2,17,4,1,FRAS:17,FRAS:17:2,5,3
19573,9,151,FRAS,1,34,7,1,FRAS:34,FRAS:34:1,5,2
19575,9,151,FRAS,1,34,9,1,FRAS:34,FRAS:34:1,5,2
20107,9,151,FRAS,2,34,1,1,FRAS:34,FRAS:34:2,5,3
20113,9,151,FRAS,2,34,7,1,FRAS:34,FRAS:34:2,5,3
20114,9,151,FRAS,2,34,8,1,FRAS:34,FRAS:34:2,5,3
19705,9,151,FRAS,1,59,4,1,FRAS:59,FRAS:59:1,5,3
19706,9,151,FRAS,1,59,5,1,FRAS:59,FRAS:59:1,5,3
19707,9,151,FRAS,1,59,6,1,FRAS:59,FRAS:59:1,5,3
20244,9,151,FRAS,2,59,3,1,FRAS:59,FRAS:59:2,5,2
20247,9,151,FRAS,2,59,6,1,FRAS:59,FRAS:59:2,5,2
19783,9,151,FRAS,1,82,1,1,FRAS:82,FRAS:82:1,5,2
19786,9,151,FRAS,1,82,4,1,FRAS:82,FRAS:82:1,5,2
20324,9,151,FRAS,2,82,2,1,FRAS:82,FRAS:82:2,5,3
20329,9,151,FRAS,2,82,7,1,FRAS:82,FRAS:82:2,5,3
20330,9,151,FRAS,2,82,8,1,FRAS:82,FRAS:82:2,5,3
3628,3,123,HADO,1,111,1,1,HADO:111,HADO:111:1,5,2
3630,3,123,HADO,1,111,3,1,HADO:111,HADO:111:1,5,2
4168,3,123,HADO,2,111,1,1,HADO:111,HADO:111:2,5,3
4171,3,123,HADO,2,111,4,1,HADO:111,HADO:111:2,5,3
4174,3,123,HADO,2,111,7,1,HADO:111,HADO:111:2,5,3
10194,6,136,HOLD,1,145,6,0,HOLD:145,HOLD:145:1,5,2
10195,6,136,HOLD,1,145,7,0,HOLD:145,HOLD:145:1,5,2
10729,6,136,HOLD,2,145,1,0,HOLD:145,HOLD:145:2,5,3
10735,6,136,HOLD,2,145,7,0,HOLD:145,HOLD:145:2,5,3
10737,6,136,HOLD,2,145,9,0,HOLD:145,HOLD:145:2,5,3
9857,6,136,HOLD,1,41,2,1,HOLD:41,HOLD:41:1,5,3
9858,6,136,HOLD,1,41,3,1,HOLD:41,HOLD:41:1,5,3
9863,6,136,HOLD,1,41,8,0,HOLD:41,HOLD:41:1,5,3
10398,6,136,HOLD,2,41,3,0,HOLD:41,HOLD:41:2,5,2
10401,6,136,HOLD,2,41,6,1,HOLD:41,HOLD:41:2,5,2
9950,6,136,HOLD,1,61,5,1,HOLD:61,HOLD:61:1,5,3
9951,6,136,HOLD,1,61,6,1,HOLD:61,HOLD:61:1,5,3
9954,6,136,HOLD,1,61,9,1,HOLD:61,HOLD:61:1,5,3
10486,6,136,HOLD,2,61,1,0,HOLD:61,HOLD:61:2,5,2
10493,6,136,HOLD,2,61,8,1,HOLD:61,HOLD:61:2,5,2
11189,6,137,MONS,1,110,2,0,MONS:110,MONS:110:1,5,3
11191,6,137,MONS,1,110,4,0,MONS:110,MONS:110:1,5,3
11192,6,137,MONS,1,110,5,0,MONS:110,MONS:110:1,5,3
11732,6,137,MONS,2,110,5,0,MONS:110,MONS:110:2,5,2
11734,6,137,MONS,2,110,7,1,MONS:110,MONS:110:2,5,2
